passenger_id,service_date,period,arrival_time,service_start_time,service_end_time,server_id,servers_scheduled
SYN-20260105-MORNINGPEAK-0091,2026-01-05,Morning peak,2026-01-05T07:10:24Z,2026-01-05T07:17:10Z,2026-01-05T07:19:31Z,4,6
SYN-20260105-MORNINGPEAK-0092,2026-01-05,Morning peak,2026-01-05T07:10:44Z,2026-01-05T07:17:27Z,2026-01-05T07:22:48Z,5,6
SYN-20260105-MORNINGPEAK-0093,2026-01-05,Morning peak,2026-01-05T07:11:12Z,2026-01-05T07:18:09Z,2026-01-05T07:45:19Z,1,6
SYN-20260105-MORNINGPEAK-0094,2026-01-05,Morning peak,2026-01-05T07:11:26Z,2026-01-05T07:19:31Z,2026-01-05T07:20:57Z,4,6
SYN-20260105-MORNINGPEAK-0095,2026-01-05,Morning peak,2026-01-05T07:11:57Z,2026-01-05T07:19:42Z,2026-01-05T07:20:53Z,3,6
SYN-20260105-MORNINGPEAK-0096,2026-01-05,Morning peak,2026-01-05T07:12:49Z,2026-01-05T07:20:53Z,2026-01-05T07:26:08Z,3,6
SYN-20260105-MORNINGPEAK-0097,2026-01-05,Morning peak,2026-01-05T07:16:31Z,2026-01-05T07:20:57Z,2026-01-05T07:28:32Z,4,6
SYN-20260105-MORNINGPEAK-0098,2026-01-05,Morning peak,2026-01-05T07:17:20Z,2026-01-05T07:21:32Z,2026-01-05T07:28:47Z,6,6
SYN-20260105-MORNINGPEAK-0099,2026-01-05,Morning peak,2026-01-05T07:19:01Z,2026-01-05T07:22:48Z,2026-01-05T07:32:43Z,5,6
SYN-20260105-MORNINGPEAK-0100,2026-01-05,Morning peak,2026-01-05T07:19:27Z,2026-01-05T07:22:58Z,2026-01-05T07:23:34Z,2,6
SYN-20260105-MORNINGPEAK-0101,2026-01-05,Morning peak,2026-01-05T07:20:09Z,2026-01-05T07:23:34Z,2026-01-05T07:31:24Z,2,6
SYN-20260105-MORNINGPEAK-0102,2026-01-05,Morning peak,2026-01-05T07:20:10Z,2026-01-05T07:26:08Z,2026-01-05T07:26:56Z,3,6
SYN-20260105-MORNINGPEAK-0103,2026-01-05,Morning peak,2026-01-05T07:20:41Z,2026-01-05T07:26:56Z,2026-01-05T07:28:10Z,3,6
SYN-20260105-MORNINGPEAK-0104,2026-01-05,Morning peak,2026-01-05T07:20:46Z,2026-01-05T07:28:10Z,2026-01-05T07:31:42Z,3,6
SYN-20260105-MORNINGPEAK-0105,2026-01-05,Morning peak,2026-01-05T07:20:51Z,2026-01-05T07:28:32Z,2026-01-05T07:29:13Z,4,6
SYN-20260105-MORNINGPEAK-0106,2026-01-05,Morning peak,2026-01-05T07:21:11Z,2026-01-05T07:28:47Z,2026-01-05T07:33:56Z,6,6
SYN-20260105-MORNINGPEAK-0107,2026-01-05,Morning peak,2026-01-05T07:21:48Z,2026-01-05T07:29:13Z,2026-01-05T07:33:51Z,4,6
SYN-20260105-MORNINGPEAK-0108,2026-01-05,Morning peak,2026-01-05T07:23:55Z,2026-01-05T07:31:24Z,2026-01-05T07:36:03Z,2,6
SYN-20260105-MORNINGPEAK-0109,2026-01-05,Morning peak,2026-01-05T07:23:56Z,2026-01-05T07:31:42Z,2026-01-05T07:34:50Z,3,6
SYN-20260105-MORNINGPEAK-0110,2026-01-05,Morning peak,2026-01-05T07:24:11Z,2026-01-05T07:32:43Z,2026-01-05T07:34:09Z,5,6
SYN-20260105-MORNINGPEAK-0111,2026-01-05,Morning peak,2026-01-05T07:25:58Z,2026-01-05T07:33:51Z,2026-01-05T07:38:50Z,4,6
SYN-20260105-MORNINGPEAK-0112,2026-01-05,Morning peak,2026-01-05T07:26:44Z,2026-01-05T07:33:56Z,2026-01-05T07:38:14Z,6,6
SYN-20260105-MORNINGPEAK-0113,2026-01-05,Morning peak,2026-01-05T07:28:17Z,2026-01-05T07:34:09Z,2026-01-05T07:35:41Z,5,6
SYN-20260105-MORNINGPEAK-0114,2026-01-05,Morning peak,2026-01-05T07:28:23Z,2026-01-05T07:34:50Z,2026-01-05T07:38:15Z,3,6
SYN-20260105-MORNINGPEAK-0115,2026-01-05,Morning peak,2026-01-05T07:28:28Z,2026-01-05T07:35:41Z,2026-01-05T07:38:10Z,5,6
SYN-20260105-MORNINGPEAK-0116,2026-01-05,Morning peak,2026-01-05T07:28:37Z,2026-01-05T07:36:03Z,2026-01-05T07:37:12Z,2,6
SYN-20260105-MORNINGPEAK-0117,2026-01-05,Morning peak,2026-01-05T07:29:26Z,2026-01-05T07:37:12Z,2026-01-05T07:41:21Z,2,6
SYN-20260105-MORNINGPEAK-0118,2026-01-05,Morning peak,2026-01-05T07:29:28Z,2026-01-05T07:38:10Z,2026-01-05T07:41:06Z,5,6
SYN-20260105-MORNINGPEAK-0119,2026-01-05,Morning peak,2026-01-05T07:30:53Z,2026-01-05T07:38:14Z,2026-01-05T07:44:00Z,6,6
SYN-20260105-MORNINGPEAK-0120,2026-01-05,Morning peak,2026-01-05T07:32:26Z,2026-01-05T07:38:15Z,2026-01-05T07:50:34Z,3,6
SYN-20260105-MORNINGPEAK-0121,2026-01-05,Morning peak,2026-01-05T07:32:34Z,2026-01-05T07:38:50Z,2026-01-05T07:41:56Z,4,6
SYN-20260105-MORNINGPEAK-0122,2026-01-05,Morning peak,2026-01-05T07:33:36Z,2026-01-05T07:41:06Z,2026-01-05T07:46:04Z,5,6
SYN-20260105-MORNINGPEAK-0123,2026-01-05,Morning peak,2026-01-05T07:33:45Z,2026-01-05T07:41:21Z,2026-01-05T07:43:57Z,2,6
SYN-20260105-MORNINGPEAK-0124,2026-01-05,Morning peak,2026-01-05T07:34:11Z,2026-01-05T07:41:56Z,2026-01-05T07:43:09Z,4,6
SYN-20260105-MORNINGPEAK-0125,2026-01-05,Morning peak,2026-01-05T07:35:10Z,2026-01-05T07:43:09Z,2026-01-05T08:00:57Z,4,6
SYN-20260105-MORNINGPEAK-0126,2026-01-05,Morning peak,2026-01-05T07:35:51Z,2026-01-05T07:43:57Z,2026-01-05T07:44:13Z,2,6
SYN-20260105-MORNINGPEAK-0127,2026-01-05,Morning peak,2026-01-05T07:36:42Z,2026-01-05T07:44:00Z,2026-01-05T07:55:20Z,6,6
SYN-20260105-MORNINGPEAK-0128,2026-01-05,Morning peak,2026-01-05T07:37:43Z,2026-01-05T07:44:13Z,2026-01-05T07:44:21Z,2,6
SYN-20260105-MORNINGPEAK-0129,2026-01-05,Morning peak,2026-01-05T07:38:32Z,2026-01-05T07:44:21Z,2026-01-05T07:55:09Z,2,6
SYN-20260105-MORNINGPEAK-0130,2026-01-05,Morning peak,2026-01-05T07:38:41Z,2026-01-05T07:45:19Z,2026-01-05T07:54:14Z,1,6
SYN-20260105-MORNINGPEAK-0131,2026-01-05,Morning peak,2026-01-05T07:38:43Z,2026-01-05T07:46:04Z,2026-01-05T07:46:30Z,5,6
SYN-20260105-MORNINGPEAK-0132,2026-01-05,Morning peak,2026-01-05T07:39:12Z,2026-01-05T07:46:30Z,2026-01-05T07:50:00Z,5,6
SYN-20260105-MORNINGPEAK-0133,2026-01-05,Morning peak,2026-01-05T07:39:46Z,2026-01-05T07:50:00Z,2026-01-05T07:53:46Z,5,6
SYN-20260105-MORNINGPEAK-0134,2026-01-05,Morning peak,2026-01-05T07:40:23Z,2026-01-05T07:50:34Z,2026-01-05T07:50:35Z,3,6
SYN-20260105-MORNINGPEAK-0135,2026-01-05,Morning peak,2026-01-05T07:40:32Z,2026-01-05T07:50:35Z,2026-01-05T07:50:46Z,3,6
SYN-20260105-MORNINGPEAK-0136,2026-01-05,Morning peak,2026-01-05T07:40:54Z,2026-01-05T07:50:46Z,2026-01-05T07:52:04Z,3,6
SYN-20260105-MORNINGPEAK-0137,2026-01-05,Morning peak,2026-01-05T07:41:17Z,2026-01-05T07:52:04Z,2026-01-05T07:57:07Z,3,6
SYN-20260105-MORNINGPEAK-0138,2026-01-05,Morning peak,2026-01-05T07:41:44Z,2026-01-05T07:53:46Z,2026-01-05T08:00:26Z,5,6
SYN-20260105-MORNINGPEAK-0139,2026-01-05,Morning peak,2026-01-05T07:41:56Z,2026-01-05T07:54:14Z,2026-01-05T08:01:19Z,1,6
SYN-20260105-MORNINGPEAK-0140,2026-01-05,Morning peak,2026-01-05T07:42:48Z,2026-01-05T07:55:09Z,2026-01-05T07:56:28Z,2,6
SYN-20260105-MORNINGPEAK-0141,2026-01-05,Morning peak,2026-01-05T07:43:46Z,2026-01-05T07:55:20Z,2026-01-05T08:02:28Z,6,6
SYN-20260105-MORNINGPEAK-0142,2026-01-05,Morning peak,2026-01-05T07:44:26Z,2026-01-05T07:56:28Z,2026-01-05T08:26:11Z,2,6
SYN-20260105-MORNINGPEAK-0143,2026-01-05,Morning peak,2026-01-05T07:45:48Z,2026-01-05T07:57:07Z,2026-01-05T08:00:25Z,3,6
SYN-20260105-MORNINGPEAK-0144,2026-01-05,Morning peak,2026-01-05T07:46:04Z,2026-01-05T08:00:25Z,2026-01-05T08:04:27Z,3,6
SYN-20260105-MORNINGPEAK-0145,2026-01-05,Morning peak,2026-01-05T07:46:14Z,2026-01-05T08:00:26Z,2026-01-05T08:01:55Z,5,6
SYN-20260105-MORNINGPEAK-0146,2026-01-05,Morning peak,2026-01-05T07:46:58Z,2026-01-05T08:00:57Z,2026-01-05T08:02:02Z,4,6
SYN-20260105-MORNINGPEAK-0147,2026-01-05,Morning peak,2026-01-05T07:47:35Z,2026-01-05T08:01:19Z,2026-01-05T08:02:17Z,1,6
SYN-20260105-MORNINGPEAK-0148,2026-01-05,Morning peak,2026-01-05T07:47:46Z,2026-01-05T08:01:55Z,2026-01-05T08:02:40Z,5,6
SYN-20260105-MORNINGPEAK-0149,2026-01-05,Morning peak,2026-01-05T07:47:46Z,2026-01-05T08:02:02Z,2026-01-05T08:09:42Z,4,6
SYN-20260105-MORNINGPEAK-0150,2026-01-05,Morning peak,2026-01-05T07:48:08Z,2026-01-05T08:02:17Z,2026-01-05T08:07:53Z,1,6
SYN-20260105-MORNINGPEAK-0151,2026-01-05,Morning peak,2026-01-05T07:48:18Z,2026-01-05T08:02:28Z,2026-01-05T08:06:29Z,6,6
SYN-20260105-MORNINGPEAK-0152,2026-01-05,Morning peak,2026-01-05T07:48:34Z,2026-01-05T08:02:40Z,2026-01-05T08:09:40Z,5,6
SYN-20260105-MORNINGPEAK-0153,2026-01-05,Morning peak,2026-01-05T07:51:01Z,2026-01-05T08:04:27Z,2026-01-05T08:04:35Z,3,6
SYN-20260105-MORNINGPEAK-0154,2026-01-05,Morning peak,2026-01-05T07:51:24Z,2026-01-05T08:04:35Z,2026-01-05T08:09:59Z,3,6
SYN-20260105-MORNINGPEAK-0155,2026-01-05,Morning peak,2026-01-05T07:51:35Z,2026-01-05T08:06:29Z,2026-01-05T08:07:52Z,6,6
SYN-20260105-MORNINGPEAK-0156,2026-01-05,Morning peak,2026-01-05T07:52:17Z,2026-01-05T08:07:52Z,2026-01-05T08:09:50Z,6,6
SYN-20260105-MORNINGPEAK-0157,2026-01-05,Morning peak,2026-01-05T07:52:21Z,2026-01-05T08:07:53Z,2026-01-05T08:10:46Z,1,6
SYN-20260105-MORNINGPEAK-0158,2026-01-05,Morning peak,2026-01-05T07:52:37Z,2026-01-05T08:09:40Z,2026-01-05T08:54:22Z,5,6
SYN-20260105-MORNINGPEAK-0159,2026-01-05,Morning peak,2026-01-05T07:53:08Z,2026-01-05T08:09:42Z,2026-01-05T08:13:19Z,4,6
SYN-20260105-MORNINGPEAK-0160,2026-01-05,Morning peak,2026-01-05T07:53:13Z,2026-01-05T08:09:50Z,2026-01-05T08:13:39Z,6,6
SYN-20260105-MORNINGPEAK-0161,2026-01-05,Morning peak,2026-01-05T07:58:29Z,2026-01-05T08:09:59Z,2026-01-05T08:12:51Z,3,6
SYN-20260105-MORNINGPEAK-0162,2026-01-05,Morning peak,2026-01-05T07:59:06Z,2026-01-05T08:10:46Z,2026-01-05T08:14:45Z,1,6
SYN-20260105-MORNINGPEAK-0163,2026-01-05,Morning peak,2026-01-05T07:59:47Z,2026-01-05T08:12:51Z,2026-01-05T08:13:01Z,3,6
SYN-20260105-MIDDAY-0001,2026-01-05,Midday,2026-01-05T10:00:51Z,2026-01-05T10:00:51Z,2026-01-05T10:05:45Z,3,5
SYN-20260105-MIDDAY-0002,2026-01-05,Midday,2026-01-05T10:00:52Z,2026-01-05T10:00:52Z,2026-01-05T10:02:43Z,4,5
SYN-20260105-MIDDAY-0003,2026-01-05,Midday,2026-01-05T10:01:10Z,2026-01-05T10:01:10Z,2026-01-05T10:01:13Z,2,5
SYN-20260105-MIDDAY-0004,2026-01-05,Midday,2026-01-05T10:01:42Z,2026-01-05T10:01:42Z,2026-01-05T10:15:31Z,2,5
