service_date,period,day_type,window_start,window_end,observation_hours,servers_scheduled
2026-01-13,Morning peak,Weekday,2026-01-13T06:00:00Z,2026-01-13T08:00:00Z,2,6
2026-01-13,Midday,Weekday,2026-01-13T10:00:00Z,2026-01-13T12:00:00Z,2,5
2026-01-13,Afternoon peak,Weekday,2026-01-13T14:00:00Z,2026-01-13T16:00:00Z,2,5
2026-01-13,Evening,Weekday,2026-01-13T18:00:00Z,2026-01-13T20:00:00Z,2,4
2026-01-14,Morning peak,Weekday,2026-01-14T06:00:00Z,2026-01-14T08:00:00Z,2,6
2026-01-14,Midday,Weekday,2026-01-14T10:00:00Z,2026-01-14T12:00:00Z,2,5
2026-01-14,Afternoon peak,Weekday,2026-01-14T14:00:00Z,2026-01-14T16:00:00Z,2,5
2026-01-14,Evening,Weekday,2026-01-14T18:00:00Z,2026-01-14T20:00:00Z,2,4
2026-01-15,Morning peak,Weekday,2026-01-15T06:00:00Z,2026-01-15T08:00:00Z,2,6
2026-01-15,Midday,Weekday,2026-01-15T10:00:00Z,2026-01-15T12:00:00Z,2,5
2026-01-15,Afternoon peak,Weekday,2026-01-15T14:00:00Z,2026-01-15T16:00:00Z,2,5
2026-01-15,Evening,Weekday,2026-01-15T18:00:00Z,2026-01-15T20:00:00Z,2,4
2026-01-16,Morning peak,Weekday,2026-01-16T06:00:00Z,2026-01-16T08:00:00Z,2,6
2026-01-16,Midday,Weekday,2026-01-16T10:00:00Z,2026-01-16T12:00:00Z,2,5
2026-01-16,Afternoon peak,Weekday,2026-01-16T14:00:00Z,2026-01-16T16:00:00Z,2,5
2026-01-16,Evening,Weekday,2026-01-16T18:00:00Z,2026-01-16T20:00:00Z,2,4
2026-01-17,Morning peak,Weekend,2026-01-17T06:00:00Z,2026-01-17T08:00:00Z,2,6
2026-01-17,Midday,Weekend,2026-01-17T10:00:00Z,2026-01-17T12:00:00Z,2,5
2026-01-17,Afternoon peak,Weekend,2026-01-17T14:00:00Z,2026-01-17T16:00:00Z,2,5
2026-01-17,Evening,Weekend,2026-01-17T18:00:00Z,2026-01-17T20:00:00Z,2,4
2026-01-18,Morning peak,Weekend,2026-01-18T06:00:00Z,2026-01-18T08:00:00Z,2,6
2026-01-18,Midday,Weekend,2026-01-18T10:00:00Z,2026-01-18T12:00:00Z,2,5
2026-01-18,Afternoon peak,Weekend,2026-01-18T14:00:00Z,2026-01-18T16:00:00Z,2,5
2026-01-18,Evening,Weekend,2026-01-18T18:00:00Z,2026-01-18T20:00:00Z,2,4
2026-01-19,Morning peak,Weekday,2026-01-19T06:00:00Z,2026-01-19T08:00:00Z,2,6
2026-01-19,Midday,Weekday,2026-01-19T10:00:00Z,2026-01-19T12:00:00Z,2,5
2026-01-19,Afternoon peak,Weekday,2026-01-19T14:00:00Z,2026-01-19T16:00:00Z,2,5
2026-01-19,Evening,Weekday,2026-01-19T18:00:00Z,2026-01-19T20:00:00Z,2,4
2026-01-20,Morning peak,Weekday,2026-01-20T06:00:00Z,2026-01-20T08:00:00Z,2,6
2026-01-20,Midday,Weekday,2026-01-20T10:00:00Z,2026-01-20T12:00:00Z,2,5
2026-01-20,Afternoon peak,Weekday,2026-01-20T14:00:00Z,2026-01-20T16:00:00Z,2,5
2026-01-20,Evening,Weekday,2026-01-20T18:00:00Z,2026-01-20T20:00:00Z,2,4
2026-01-21,Morning peak,Weekday,2026-01-21T06:00:00Z,2026-01-21T08:00:00Z,2,6
2026-01-21,Midday,Weekday,2026-01-21T10:00:00Z,2026-01-21T12:00:00Z,2,5
2026-01-21,Afternoon peak,Weekday,2026-01-21T14:00:00Z,2026-01-21T16:00:00Z,2,5
2026-01-21,Evening,Weekday,2026-01-21T18:00:00Z,2026-01-21T20:00:00Z,2,4
2026-01-22,Morning peak,Weekday,2026-01-22T06:00:00Z,2026-01-22T08:00:00Z,2,6
2026-01-22,Midday,Weekday,2026-01-22T10:00:00Z,2026-01-22T12:00:00Z,2,5
2026-01-22,Afternoon peak,Weekday,2026-01-22T14:00:00Z,2026-01-22T16:00:00Z,2,5
2026-01-22,Evening,Weekday,2026-01-22T18:00:00Z,2026-01-22T20:00:00Z,2,4
2026-01-23,Morning peak,Weekday,2026-01-23T06:00:00Z,2026-01-23T08:00:00Z,2,6
2026-01-23,Midday,Weekday,2026-01-23T10:00:00Z,2026-01-23T12:00:00Z,2,5
2026-01-23,Afternoon peak,Weekday,2026-01-23T14:00:00Z,2026-01-23T16:00:00Z,2,5
2026-01-23,Evening,Weekday,2026-01-23T18:00:00Z,2026-01-23T20:00:00Z,2,4
2026-01-24,Morning peak,Weekend,2026-01-24T06:00:00Z,2026-01-24T08:00:00Z,2,6
2026-01-24,Midday,Weekend,2026-01-24T10:00:00Z,2026-01-24T12:00:00Z,2,5
2026-01-24,Afternoon peak,Weekend,2026-01-24T14:00:00Z,2026-01-24T16:00:00Z,2,5
2026-01-24,Evening,Weekend,2026-01-24T18:00:00Z,2026-01-24T20:00:00Z,2,4
2026-01-25,Morning peak,Weekend,2026-01-25T06:00:00Z,2026-01-25T08:00:00Z,2,6
2026-01-25,Midday,Weekend,2026-01-25T10:00:00Z,2026-01-25T12:00:00Z,2,5
2026-01-25,Afternoon peak,Weekend,2026-01-25T14:00:00Z,2026-01-25T16:00:00Z,2,5
2026-01-25,Evening,Weekend,2026-01-25T18:00:00Z,2026-01-25T20:00:00Z,2,4
2026-01-26,Morning peak,Weekday,2026-01-26T06:00:00Z,2026-01-26T08:00:00Z,2,6
2026-01-26,Midday,Weekday,2026-01-26T10:00:00Z,2026-01-26T12:00:00Z,2,5
2026-01-26,Afternoon peak,Weekday,2026-01-26T14:00:00Z,2026-01-26T16:00:00Z,2,5
2026-01-26,Evening,Weekday,2026-01-26T18:00:00Z,2026-01-26T20:00:00Z,2,4
2026-01-27,Morning peak,Weekday,2026-01-27T06:00:00Z,2026-01-27T08:00:00Z,2,6
2026-01-27,Midday,Weekday,2026-01-27T10:00:00Z,2026-01-27T12:00:00Z,2,5
2026-01-27,Afternoon peak,Weekday,2026-01-27T14:00:00Z,2026-01-27T16:00:00Z,2,5
2026-01-27,Evening,Weekday,2026-01-27T18:00:00Z,2026-01-27T20:00:00Z,2,4
2026-01-28,Morning peak,Weekday,2026-01-28T06:00:00Z,2026-01-28T08:00:00Z,2,6
2026-01-28,Midday,Weekday,2026-01-28T10:00:00Z,2026-01-28T12:00:00Z,2,5
2026-01-28,Afternoon peak,Weekday,2026-01-28T14:00:00Z,2026-01-28T16:00:00Z,2,5
2026-01-28,Evening,Weekday,2026-01-28T18:00:00Z,2026-01-28T20:00:00Z,2,4
2026-01-29,Morning peak,Weekday,2026-01-29T06:00:00Z,2026-01-29T08:00:00Z,2,6
2026-01-29,Midday,Weekday,2026-01-29T10:00:00Z,2026-01-29T12:00:00Z,2,5
2026-01-29,Afternoon peak,Weekday,2026-01-29T14:00:00Z,2026-01-29T16:00:00Z,2,5
2026-01-29,Evening,Weekday,2026-01-29T18:00:00Z,2026-01-29T20:00:00Z,2,4
2026-01-30,Morning peak,Weekday,2026-01-30T06:00:00Z,2026-01-30T08:00:00Z,2,6
2026-01-30,Midday,Weekday,2026-01-30T10:00:00Z,2026-01-30T12:00:00Z,2,5
2026-01-30,Afternoon peak,Weekday,2026-01-30T14:00:00Z,2026-01-30T16:00:00Z,2,5
2026-01-30,Evening,Weekday,2026-01-30T18:00:00Z,2026-01-30T20:00:00Z,2,4
2026-01-31,Morning peak,Weekend,2026-01-31T06:00:00Z,2026-01-31T08:00:00Z,2,6
2026-01-31,Midday,Weekend,2026-01-31T10:00:00Z,2026-01-31T12:00:00Z,2,5
2026-01-31,Afternoon peak,Weekend,2026-01-31T14:00:00Z,2026-01-31T16:00:00Z,2,5
2026-01-31,Evening,Weekend,2026-01-31T18:00:00Z,2026-01-31T20:00:00Z,2,4
2026-02-01,Morning peak,Weekend,2026-02-01T06:00:00Z,2026-02-01T08:00:00Z,2,6
2026-02-01,Midday,Weekend,2026-02-01T10:00:00Z,2026-02-01T12:00:00Z,2,5
2026-02-01,Afternoon peak,Weekend,2026-02-01T14:00:00Z,2026-02-01T16:00:00Z,2,5
2026-02-01,Evening,Weekend,2026-02-01T18:00:00Z,2026-02-01T20:00:00Z,2,4
2026-02-02,Morning peak,Weekday,2026-02-02T06:00:00Z,2026-02-02T08:00:00Z,2,6
2026-02-02,Midday,Weekday,2026-02-02T10:00:00Z,2026-02-02T12:00:00Z,2,5
2026-02-02,Afternoon peak,Weekday,2026-02-02T14:00:00Z,2026-02-02T16:00:00Z,2,5
2026-02-02,Evening,Weekday,2026-02-02T18:00:00Z,2026-02-02T20:00:00Z,2,4
2026-02-03,Morning peak,Weekday,2026-02-03T06:00:00Z,2026-02-03T08:00:00Z,2,6
2026-02-03,Midday,Weekday,2026-02-03T10:00:00Z,2026-02-03T12:00:00Z,2,5
2026-02-03,Afternoon peak,Weekday,2026-02-03T14:00:00Z,2026-02-03T16:00:00Z,2,5
2026-02-03,Evening,Weekday,2026-02-03T18:00:00Z,2026-02-03T20:00:00Z,2,4
2026-02-04,Morning peak,Weekday,2026-02-04T06:00:00Z,2026-02-04T08:00:00Z,2,6
2026-02-04,Midday,Weekday,2026-02-04T10:00:00Z,2026-02-04T12:00:00Z,2,5
2026-02-04,Afternoon peak,Weekday,2026-02-04T14:00:00Z,2026-02-04T16:00:00Z,2,5
2026-02-04,Evening,Weekday,2026-02-04T18:00:00Z,2026-02-04T20:00:00Z,2,4
2026-02-05,Morning peak,Weekday,2026-02-05T06:00:00Z,2026-02-05T08:00:00Z,2,6
2026-02-05,Midday,Weekday,2026-02-05T10:00:00Z,2026-02-05T12:00:00Z,2,5
2026-02-05,Afternoon peak,Weekday,2026-02-05T14:00:00Z,2026-02-05T16:00:00Z,2,5
2026-02-05,Evening,Weekday,2026-02-05T18:00:00Z,2026-02-05T20:00:00Z,2,4
2026-02-06,Morning peak,Weekday,2026-02-06T06:00:00Z,2026-02-06T08:00:00Z,2,6
2026-02-06,Midday,Weekday,2026-02-06T10:00:00Z,2026-02-06T12:00:00Z,2,5
2026-02-06,Afternoon peak,Weekday,2026-02-06T14:00:00Z,2026-02-06T16:00:00Z,2,5
2026-02-06,Evening,Weekday,2026-02-06T18:00:00Z,2026-02-06T20:00:00Z,2,4
2026-02-07,Morning peak,Weekend,2026-02-07T06:00:00Z,2026-02-07T08:00:00Z,2,6
2026-02-07,Midday,Weekend,2026-02-07T10:00:00Z,2026-02-07T12:00:00Z,2,5
2026-02-07,Afternoon peak,Weekend,2026-02-07T14:00:00Z,2026-02-07T16:00:00Z,2,5
2026-02-07,Evening,Weekend,2026-02-07T18:00:00Z,2026-02-07T20:00:00Z,2,4
2026-02-08,Morning peak,Weekend,2026-02-08T06:00:00Z,2026-02-08T08:00:00Z,2,6
2026-02-08,Midday,Weekend,2026-02-08T10:00:00Z,2026-02-08T12:00:00Z,2,5
2026-02-08,Afternoon peak,Weekend,2026-02-08T14:00:00Z,2026-02-08T16:00:00Z,2,5
2026-02-08,Evening,Weekend,2026-02-08T18:00:00Z,2026-02-08T20:00:00Z,2,4
2026-02-09,Morning peak,Weekday,2026-02-09T06:00:00Z,2026-02-09T08:00:00Z,2,6
2026-02-09,Midday,Weekday,2026-02-09T10:00:00Z,2026-02-09T12:00:00Z,2,5
2026-02-09,Afternoon peak,Weekday,2026-02-09T14:00:00Z,2026-02-09T16:00:00Z,2,5
2026-02-09,Evening,Weekday,2026-02-09T18:00:00Z,2026-02-09T20:00:00Z,2,4
2026-02-10,Morning peak,Weekday,2026-02-10T06:00:00Z,2026-02-10T08:00:00Z,2,6
2026-02-10,Midday,Weekday,2026-02-10T10:00:00Z,2026-02-10T12:00:00Z,2,5
2026-02-10,Afternoon peak,Weekday,2026-02-10T14:00:00Z,2026-02-10T16:00:00Z,2,5
2026-02-10,Evening,Weekday,2026-02-10T18:00:00Z,2026-02-10T20:00:00Z,2,4
2026-02-11,Morning peak,Weekday,2026-02-11T06:00:00Z,2026-02-11T08:00:00Z,2,6
2026-02-11,Midday,Weekday,2026-02-11T10:00:00Z,2026-02-11T12:00:00Z,2,5
2026-02-11,Afternoon peak,Weekday,2026-02-11T14:00:00Z,2026-02-11T16:00:00Z,2,5
2026-02-11,Evening,Weekday,2026-02-11T18:00:00Z,2026-02-11T20:00:00Z,2,4
2026-02-12,Morning peak,Weekday,2026-02-12T06:00:00Z,2026-02-12T08:00:00Z,2,6
2026-02-12,Midday,Weekday,2026-02-12T10:00:00Z,2026-02-12T12:00:00Z,2,5
2026-02-12,Afternoon peak,Weekday,2026-02-12T14:00:00Z,2026-02-12T16:00:00Z,2,5
2026-02-12,Evening,Weekday,2026-02-12T18:00:00Z,2026-02-12T20:00:00Z,2,4
2026-02-13,Morning peak,Weekday,2026-02-13T06:00:00Z,2026-02-13T08:00:00Z,2,6
2026-02-13,Midday,Weekday,2026-02-13T10:00:00Z,2026-02-13T12:00:00Z,2,5
2026-02-13,Afternoon peak,Weekday,2026-02-13T14:00:00Z,2026-02-13T16:00:00Z,2,5
2026-02-13,Evening,Weekday,2026-02-13T18:00:00Z,2026-02-13T20:00:00Z,2,4
2026-02-14,Morning peak,Weekend,2026-02-14T06:00:00Z,2026-02-14T08:00:00Z,2,6
2026-02-14,Midday,Weekend,2026-02-14T10:00:00Z,2026-02-14T12:00:00Z,2,5
2026-02-14,Afternoon peak,Weekend,2026-02-14T14:00:00Z,2026-02-14T16:00:00Z,2,5
2026-02-14,Evening,Weekend,2026-02-14T18:00:00Z,2026-02-14T20:00:00Z,2,4
2026-02-15,Morning peak,Weekend,2026-02-15T06:00:00Z,2026-02-15T08:00:00Z,2,6
2026-02-15,Midday,Weekend,2026-02-15T10:00:00Z,2026-02-15T12:00:00Z,2,5
2026-02-15,Afternoon peak,Weekend,2026-02-15T14:00:00Z,2026-02-15T16:00:00Z,2,5
2026-02-15,Evening,Weekend,2026-02-15T18:00:00Z,2026-02-15T20:00:00Z,2,4
2026-02-16,Morning peak,Weekday,2026-02-16T06:00:00Z,2026-02-16T08:00:00Z,2,6
2026-02-16,Midday,Weekday,2026-02-16T10:00:00Z,2026-02-16T12:00:00Z,2,5
2026-02-16,Afternoon peak,Weekday,2026-02-16T14:00:00Z,2026-02-16T16:00:00Z,2,5
2026-02-16,Evening,Weekday,2026-02-16T18:00:00Z,2026-02-16T20:00:00Z,2,4
2026-02-17,Morning peak,Weekday,2026-02-17T06:00:00Z,2026-02-17T08:00:00Z,2,6
2026-02-17,Midday,Weekday,2026-02-17T10:00:00Z,2026-02-17T12:00:00Z,2,5
2026-02-17,Afternoon peak,Weekday,2026-02-17T14:00:00Z,2026-02-17T16:00:00Z,2,5
2026-02-17,Evening,Weekday,2026-02-17T18:00:00Z,2026-02-17T20:00:00Z,2,4
2026-02-18,Morning peak,Weekday,2026-02-18T06:00:00Z,2026-02-18T08:00:00Z,2,6
2026-02-18,Midday,Weekday,2026-02-18T10:00:00Z,2026-02-18T12:00:00Z,2,5
2026-02-18,Afternoon peak,Weekday,2026-02-18T14:00:00Z,2026-02-18T16:00:00Z,2,5
2026-02-18,Evening,Weekday,2026-02-18T18:00:00Z,2026-02-18T20:00:00Z,2,4
2026-02-19,Morning peak,Weekday,2026-02-19T06:00:00Z,2026-02-19T08:00:00Z,2,6
2026-02-19,Midday,Weekday,2026-02-19T10:00:00Z,2026-02-19T12:00:00Z,2,5
2026-02-19,Afternoon peak,Weekday,2026-02-19T14:00:00Z,2026-02-19T16:00:00Z,2,5
2026-02-19,Evening,Weekday,2026-02-19T18:00:00Z,2026-02-19T20:00:00Z,2,4
2026-02-20,Morning peak,Weekday,2026-02-20T06:00:00Z,2026-02-20T08:00:00Z,2,6
2026-02-20,Midday,Weekday,2026-02-20T10:00:00Z,2026-02-20T12:00:00Z,2,5
2026-02-20,Afternoon peak,Weekday,2026-02-20T14:00:00Z,2026-02-20T16:00:00Z,2,5
2026-02-20,Evening,Weekday,2026-02-20T18:00:00Z,2026-02-20T20:00:00Z,2,4
2026-02-21,Morning peak,Weekend,2026-02-21T06:00:00Z,2026-02-21T08:00:00Z,2,6
2026-02-21,Midday,Weekend,2026-02-21T10:00:00Z,2026-02-21T12:00:00Z,2,5
2026-02-21,Afternoon peak,Weekend,2026-02-21T14:00:00Z,2026-02-21T16:00:00Z,2,5
2026-02-21,Evening,Weekend,2026-02-21T18:00:00Z,2026-02-21T20:00:00Z,2,4
2026-02-22,Morning peak,Weekend,2026-02-22T06:00:00Z,2026-02-22T08:00:00Z,2,6
2026-02-22,Midday,Weekend,2026-02-22T10:00:00Z,2026-02-22T12:00:00Z,2,5
2026-02-22,Afternoon peak,Weekend,2026-02-22T14:00:00Z,2026-02-22T16:00:00Z,2,5
2026-02-22,Evening,Weekend,2026-02-22T18:00:00Z,2026-02-22T20:00:00Z,2,4
2026-02-23,Morning peak,Weekday,2026-02-23T06:00:00Z,2026-02-23T08:00:00Z,2,6
2026-02-23,Midday,Weekday,2026-02-23T10:00:00Z,2026-02-23T12:00:00Z,2,5
2026-02-23,Afternoon peak,Weekday,2026-02-23T14:00:00Z,2026-02-23T16:00:00Z,2,5
2026-02-23,Evening,Weekday,2026-02-23T18:00:00Z,2026-02-23T20:00:00Z,2,4
2026-02-24,Morning peak,Weekday,2026-02-24T06:00:00Z,2026-02-24T08:00:00Z,2,6
2026-02-24,Midday,Weekday,2026-02-24T10:00:00Z,2026-02-24T12:00:00Z,2,5
2026-02-24,Afternoon peak,Weekday,2026-02-24T14:00:00Z,2026-02-24T16:00:00Z,2,5
2026-02-24,Evening,Weekday,2026-02-24T18:00:00Z,2026-02-24T20:00:00Z,2,4
2026-02-25,Morning peak,Weekday,2026-02-25T06:00:00Z,2026-02-25T08:00:00Z,2,6
2026-02-25,Midday,Weekday,2026-02-25T10:00:00Z,2026-02-25T12:00:00Z,2,5
2026-02-25,Afternoon peak,Weekday,2026-02-25T14:00:00Z,2026-02-25T16:00:00Z,2,5
2026-02-25,Evening,Weekday,2026-02-25T18:00:00Z,2026-02-25T20:00:00Z,2,4
2026-02-26,Morning peak,Weekday,2026-02-26T06:00:00Z,2026-02-26T08:00:00Z,2,6
2026-02-26,Midday,Weekday,2026-02-26T10:00:00Z,2026-02-26T12:00:00Z,2,5
2026-02-26,Afternoon peak,Weekday,2026-02-26T14:00:00Z,2026-02-26T16:00:00Z,2,5
2026-02-26,Evening,Weekday,2026-02-26T18:00:00Z,2026-02-26T20:00:00Z,2,4
2026-02-27,Morning peak,Weekday,2026-02-27T06:00:00Z,2026-02-27T08:00:00Z,2,6
2026-02-27,Midday,Weekday,2026-02-27T10:00:00Z,2026-02-27T12:00:00Z,2,5
2026-02-27,Afternoon peak,Weekday,2026-02-27T14:00:00Z,2026-02-27T16:00:00Z,2,5
2026-02-27,Evening,Weekday,2026-02-27T18:00:00Z,2026-02-27T20:00:00Z,2,4
2026-02-28,Morning peak,Weekend,2026-02-28T06:00:00Z,2026-02-28T08:00:00Z,2,6
2026-02-28,Midday,Weekend,2026-02-28T10:00:00Z,2026-02-28T12:00:00Z,2,5
2026-02-28,Afternoon peak,Weekend,2026-02-28T14:00:00Z,2026-02-28T16:00:00Z,2,5
2026-02-28,Evening,Weekend,2026-02-28T18:00:00Z,2026-02-28T20:00:00Z,2,4
2026-03-01,Morning peak,Weekend,2026-03-01T06:00:00Z,2026-03-01T08:00:00Z,2,6
2026-03-01,Midday,Weekend,2026-03-01T10:00:00Z,2026-03-01T12:00:00Z,2,5
2026-03-01,Afternoon peak,Weekend,2026-03-01T14:00:00Z,2026-03-01T16:00:00Z,2,5
2026-03-01,Evening,Weekend,2026-03-01T18:00:00Z,2026-03-01T20:00:00Z,2,4
2026-03-02,Morning peak,Weekday,2026-03-02T06:00:00Z,2026-03-02T08:00:00Z,2,6
2026-03-02,Midday,Weekday,2026-03-02T10:00:00Z,2026-03-02T12:00:00Z,2,5
2026-03-02,Afternoon peak,Weekday,2026-03-02T14:00:00Z,2026-03-02T16:00:00Z,2,5
2026-03-02,Evening,Weekday,2026-03-02T18:00:00Z,2026-03-02T20:00:00Z,2,4
2026-03-03,Morning peak,Weekday,2026-03-03T06:00:00Z,2026-03-03T08:00:00Z,2,6
2026-03-03,Midday,Weekday,2026-03-03T10:00:00Z,2026-03-03T12:00:00Z,2,5
2026-03-03,Afternoon peak,Weekday,2026-03-03T14:00:00Z,2026-03-03T16:00:00Z,2,5
2026-03-03,Evening,Weekday,2026-03-03T18:00:00Z,2026-03-03T20:00:00Z,2,4
2026-03-04,Morning peak,Weekday,2026-03-04T06:00:00Z,2026-03-04T08:00:00Z,2,6
2026-03-04,Midday,Weekday,2026-03-04T10:00:00Z,2026-03-04T12:00:00Z,2,5
2026-03-04,Afternoon peak,Weekday,2026-03-04T14:00:00Z,2026-03-04T16:00:00Z,2,5
2026-03-04,Evening,Weekday,2026-03-04T18:00:00Z,2026-03-04T20:00:00Z,2,4
2026-03-05,Morning peak,Weekday,2026-03-05T06:00:00Z,2026-03-05T08:00:00Z,2,6
2026-03-05,Midday,Weekday,2026-03-05T10:00:00Z,2026-03-05T12:00:00Z,2,5
2026-03-05,Afternoon peak,Weekday,2026-03-05T14:00:00Z,2026-03-05T16:00:00Z,2,5
2026-03-05,Evening,Weekday,2026-03-05T18:00:00Z,2026-03-05T20:00:00Z,2,4
2026-03-06,Morning peak,Weekday,2026-03-06T06:00:00Z,2026-03-06T08:00:00Z,2,6
2026-03-06,Midday,Weekday,2026-03-06T10:00:00Z,2026-03-06T12:00:00Z,2,5
2026-03-06,Afternoon peak,Weekday,2026-03-06T14:00:00Z,2026-03-06T16:00:00Z,2,5
2026-03-06,Evening,Weekday,2026-03-06T18:00:00Z,2026-03-06T20:00:00Z,2,4
2026-03-07,Morning peak,Weekend,2026-03-07T06:00:00Z,2026-03-07T08:00:00Z,2,6
2026-03-07,Midday,Weekend,2026-03-07T10:00:00Z,2026-03-07T12:00:00Z,2,5
2026-03-07,Afternoon peak,Weekend,2026-03-07T14:00:00Z,2026-03-07T16:00:00Z,2,5
2026-03-07,Evening,Weekend,2026-03-07T18:00:00Z,2026-03-07T20:00:00Z,2,4
2026-03-08,Morning peak,Weekend,2026-03-08T06:00:00Z,2026-03-08T08:00:00Z,2,6
2026-03-08,Midday,Weekend,2026-03-08T10:00:00Z,2026-03-08T12:00:00Z,2,5
2026-03-08,Afternoon peak,Weekend,2026-03-08T14:00:00Z,2026-03-08T16:00:00Z,2,5
2026-03-08,Evening,Weekend,2026-03-08T18:00:00Z,2026-03-08T20:00:00Z,2,4
2026-03-09,Morning peak,Weekday,2026-03-09T06:00:00Z,2026-03-09T08:00:00Z,2,6
2026-03-09,Midday,Weekday,2026-03-09T10:00:00Z,2026-03-09T12:00:00Z,2,5
2026-03-09,Afternoon peak,Weekday,2026-03-09T14:00:00Z,2026-03-09T16:00:00Z,2,5
2026-03-09,Evening,Weekday,2026-03-09T18:00:00Z,2026-03-09T20:00:00Z,2,4
2026-03-10,Morning peak,Weekday,2026-03-10T06:00:00Z,2026-03-10T08:00:00Z,2,6
2026-03-10,Midday,Weekday,2026-03-10T10:00:00Z,2026-03-10T12:00:00Z,2,5
2026-03-10,Afternoon peak,Weekday,2026-03-10T14:00:00Z,2026-03-10T16:00:00Z,2,5
2026-03-10,Evening,Weekday,2026-03-10T18:00:00Z,2026-03-10T20:00:00Z,2,4
2026-03-11,Morning peak,Weekday,2026-03-11T06:00:00Z,2026-03-11T08:00:00Z,2,6
2026-03-11,Midday,Weekday,2026-03-11T10:00:00Z,2026-03-11T12:00:00Z,2,5
2026-03-11,Afternoon peak,Weekday,2026-03-11T14:00:00Z,2026-03-11T16:00:00Z,2,5
2026-03-11,Evening,Weekday,2026-03-11T18:00:00Z,2026-03-11T20:00:00Z,2,4
2026-03-12,Morning peak,Weekday,2026-03-12T06:00:00Z,2026-03-12T08:00:00Z,2,6
2026-03-12,Midday,Weekday,2026-03-12T10:00:00Z,2026-03-12T12:00:00Z,2,5
2026-03-12,Afternoon peak,Weekday,2026-03-12T14:00:00Z,2026-03-12T16:00:00Z,2,5
2026-03-12,Evening,Weekday,2026-03-12T18:00:00Z,2026-03-12T20:00:00Z,2,4
2026-03-13,Morning peak,Weekday,2026-03-13T06:00:00Z,2026-03-13T08:00:00Z,2,6
2026-03-13,Midday,Weekday,2026-03-13T10:00:00Z,2026-03-13T12:00:00Z,2,5
